"archivo","fecha"
"archived files/prueba 1.log","07/10/2019 23:07:40"
"archived files/prueba 1.log","07/10/2019 23:07:42"
"archived files/prueba 1.log","07/10/2019 23:09:23"
"archived files/prueba 1.log","07/10/2019 23:15:09"
"archived files/prueba 1.log","07/10/2019 23:15:49"
"archived files/prueba 1.log","07/10/2019 23:15:58"
"archivedFiles/prueba3.log","07/10/2019 23:17:53"
"archivedFiles/prueba3.log","07/10/2019 23:18:05"
"archivedFiles/prueba3.log","07/10/2019 23:19:37"
